date,region,cases
23/05/2020,ID,0.1538028213019439
30/05/2020,ID,0.04452653590830514
06/06/2020,ID,0.0852876477716916
13/06/2020,ID,0.12764202989059117
20/06/2020,ID,0.24057625949799946
27/06/2020,ID,0.11268709243040016
04/07/2020,ID,0.20187000912019795
11/07/2020,ID,0.38579553632163516
18/07/2020,ID,0.3128202692117113
25/07/2020,ID,0.30386750307003196
01/08/2020,ID,0.5144869712137635
08/08/2020,ID,0.35742407289362904
15/08/2020,ID,
22/08/2020,ID,
29/08/2020,ID,
05/09/2020,ID,
12/09/2020,ID,0.0
19/09/2020,ID,0.0
26/09/2020,ID,0.0
03/10/2020,ID,0.0
04/01/2020,IL,0.0
11/01/2020,IL,0.0
18/01/2020,IL,0.0
25/01/2020,IL,0.0
01/02/2020,IL,0.0
08/02/2020,IL,0.0
15/02/2020,IL,0.0
22/02/2020,IL,7.944899571955941
29/02/2020,IL,6.900050021014654
07/03/2020,IL,5.616199577807445
14/03/2020,IL,5.35800571758618
21/03/2020,IL,5.004087110863
28/03/2020,IL,3.161193919245437
04/04/2020,IL,1.361423546183109
11/04/2020,IL,0.7410953850249129
18/04/2020,IL,0.5064956940046653
25/04/2020,IL,0.5266104784709396
02/05/2020,IL,0.2791386202207162
09/05/2020,IL,0.20341163164683662
16/05/2020,IL,0.32390221286149434
23/05/2020,IL,0.12919739939396344
30/05/2020,IL,0.11736448861892079
06/06/2020,IL,0.058088514024541474
13/06/2020,IL,0.18904968659729637
20/06/2020,IL,0.031253035513813164
27/06/2020,IL,0.23682021140267298
04/07/2020,IL,0.13864167198636465
11/07/2020,IL,0.05943917884060021
18/07/2020,IL,0.2853746652318833
25/07/2020,IL,0.4393906997633476
01/08/2020,IL,0.43592676534965935
08/08/2020,IL,0.32062166592795877
15/08/2020,IL,
22/08/2020,IL,
29/08/2020,IL,
05/09/2020,IL,
12/09/2020,IL,0.0
19/09/2020,IL,0.0
26/09/2020,IL,0.0
03/10/2020,IL,0.0
04/01/2020,IN,0.0
11/01/2020,IN,0.0
18/01/2020,IN,0.0
25/01/2020,IN,0.0
01/02/2020,IN,0.0
08/02/2020,IN,0.0
15/02/2020,IN,0.0
22/02/2020,IN,6.348726450065812
29/02/2020,IN,5.681040318089104
07/03/2020,IN,5.499443717334736
14/03/2020,IN,5.535405583365354
21/03/2020,IN,5.414431451432891
28/03/2020,IN,2.4231618422078833
04/04/2020,IN,1.1780415337980736
11/04/2020,IN,0.9301604154723581
18/04/2020,IN,0.5330677794702625
25/04/2020,IN,0.9536723244528531
02/05/2020,IN,0.5478672064993889
09/05/2020,IN,0.27418900961571163
16/05/2020,IN,0.16389035255575277
23/05/2020,IN,0.22574810500232473
30/05/2020,IN,0.17814932189559002
06/06/2020,IN,0.026618468681066456
13/06/2020,IN,0.01830388450864017
20/06/2020,IN,0.02603532181249065
27/06/2020,IN,0.17553609680218363
04/07/2020,IN,0.387514264818942
11/07/2020,IN,0.11891605756167299
18/07/2020,IN,0.4142846445844459
25/07/2020,IN,0.433954017872427
01/08/2020,IN,0.7062145666892452
08/08/2020,IN,0.36209255371150034
15/08/2020,IN,
22/08/2020,IN,
29/08/2020,IN,
05/09/2020,IN,
12/09/2020,IN,0.0
19/09/2020,IN,0.0
26/09/2020,IN,0.0
03/10/2020,IN,0.0
04/01/2020,KS,0.0
11/01/2020,KS,0.0
18/01/2020,KS,0.0
25/01/2020,KS,0.0
01/02/2020,KS,0.0
08/02/2020,KS,0.0
15/02/2020,KS,0.0
22/02/2020,KS,8.818464792261546
29/02/2020,KS,7.353691168528677
