date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask_7d,smoothed_wtravel_outside_state_7d,smoothed_wspent_time_indoors_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
2021-04-03,202113,X,US,-6.428571428571429,0.8571428571428571,13.571428571428571,-25.857142857142858,-27.428571428571427,6.714285714285714,136.0757142857143,35965.0,369.0,101920395.0,54438535.0,55.98941865714286,9.281091642857142,89.07474244285714,11.073158771428572,37.24197972857143,8.7,170366.66666666666,675.0,551028.0,5773.0,0.8130926285714285,0.8262076571428572,30778567.0,459175.0,7983765.0,454219.0,8453891.0
2021-04-10,202114,X,US,-9.571428571428571,-2.857142857142857,27.571428571428573,-24.428571428571427,-27.285714285714285,5.714285714285714,136.98142857142858,38741.0,442.0,114791160.0,63630229.0,61.80517615714286,10.024102828571428,88.51548621428573,11.861099228571428,39.363893528571424,10.1,177178.33333333334,5918.666666666667,557900.0,6872.0,0.9055055142857142,0.9234386428571428,31257532.0,478965.0,8154349.0,469898.0,8642127.0
2021-04-17,202115,X,US,-8.428571428571429,-3.142857142857143,16.0,-25.571428571428573,-24.571428571428573,6.0,135.50142857142856,39831.0,417.0,126822454.0,73322664.0,67.12332314285715,9.819214299999999,88.01775402857143,11.740677514285714,38.111214242857145,10.2,171666.66666666666,3434.0,562905.0,5005.0,0.8632833857142858,0.8657544714285714,31736559.0,479027.0,8371410.0,464694.0,8849097.0
2021-04-24,202116,X,US,-8.714285714285714,-2.5714285714285716,20.714285714285715,-24.571428571428573,-24.0,6.142857142857143,135.97285714285715,37721.0,493.0,135636560.0,83614820.0,71.17597142857143,9.614410242857142,87.57813418571428,11.223395685714287,38.20510177142857,9.2,174716.33333333334,6491.333333333333,567917.0,5012.0,0.8863936571428572,0.8990802142857144,32150308.0,413749.0,8245056.0,401642.0,8658316.0
2021-05-01,202117,X,US,-7.428571428571429,-0.8571428571428571,28.857142857142858,-23.285714285714285,-24.142857142857142,5.428571428571429,137.95857142857142,34181.0,425.0,143109046.0,93543523.0,84.61523792857145,10.535132642857144,98.67271784285714,13.015976899999998,44.54893821428573,8.1,174033.33333333334,6841.0,572780.0,4863.0,1.0111041285714286,1.024701857142857,32500536.0,350228.0,7921503.0,351492.0,8283811.0
2021-05-08,202118,X,US,-5.571428571428571,3.2857142857142856,26.571428571428573,-22.142857142857142,-23.857142857142858,4.857142857142857,141.39,30748.0,344.0,147989197.0,102039691.0,75.77598067142858,8.48123412857143,84.83051821428572,11.848871685714286,39.816967899999995,7.2,171711.33333333334,6237.0,577462.0,4682.0,0.8245874571428571,0.8339272714285714,32794901.0,294365.0,7329545.0,281986.0,7620219.0
2021-05-15,202119,X,US,-6.142857142857143,2.857142857142857,33.57142857142857,-20.714285714285715,-24.428571428571427,4.714285714285714,142.35857142857142,26232.0,321.0,152619490.0,110288534.0,76.91404134285715,8.310944142857144,83.59808459999999,12.406144371428573,42.27666147142857,5.7,170349.33333333334,5829.0,581497.0,4035.0,0.8333805285714286,0.8391714142857143,33033487.0,238586.0,6787897.0,220335.0,7015740.0
2021-05-22,202120,X,US,-5.571428571428571,1.8571428571428572,40.285714285714285,-20.571428571428573,-23.285714285714285,4.714285714285714,146.75285714285715,23008.0,301.0,158667114.0,116807511.0,77.9110716142857,7.1224241571428575,79.93155891428572,12.989265157142858,42.49084958571429,4.8,171627.66666666666,7179.0,585392.0,3895.0,0.7935963571428571,0.8208498142857144,33215196.0,181709.0,6091159.0,171764.0,6269133.0
2021-05-29,202121,X,US,-4.285714285714286,3.2857142857142856,38.57142857142857,-20.142857142857142,-24.714285714285715,4.571428571428571,151.36285714285714,20443.0,295.0,163145749.0,121507846.0,79.04017794285714,6.140166885714286,72.91328311428572,13.323530657142857,43.878052014285714,3.7,168039.33333333334,5307.0,589894.0,4502.0,0.7569425857142857,0.7691442285714286,33362434.0,147238.0,5381998.0,131805.0,5518609.0
2021-06-05,202122,X,US,-4.285714285714286,4.142857142857143,54.142857142857146,-20.714285714285715,-30.428571428571427,5.857142857142857,152.29142857142858,16661.0,286.0,166155682.0,124810624.0,79.43031678571428,5.926966328571428,66.31874325714286,14.564098457142858,45.4932239,2.9,168752.33333333334,6577.0,593150.0,3256.0,0.7563891285714286,0.7715566571428571,33465494.0,103060.0,4800527.0,96749.0,4900936.0
