date,epiweek,region,fips,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,apple_mobility,cdc_hospitalized,cdc_flu_hosp,Stage_One_Doses,Stage_Two_Doses,smoothed_wcovid_vaccinated,smoothed_wtested_positive_14d,smoothed_wwearing_mask,smoothed_wtravel_outside_state_5d,smoothed_wspent_time_1d,covidnet,Observed Number,Excess Estimate,death_jhu_cumulative,death_jhu_incidence,fb_survey_wcli,fb_survey_wili,positiveIncr_cumulative,positiveIncr,cdc_negativeIncr,cdc_positiveIncr,cdc_total_resultsIncr
2021-02-13,202106,OK,40,-27.0,-6.285714285714286,-49.42857142857143,-19.857142857142858,-30.714285714285715,13.571428571428571,88.96714285714286,1208.0,9.0,458056.0,178566.0,24.272311042857144,24.72615782857143,87.00350434285714,7.321822671428571,38.701198885714284,,915.0,85.33333333333333,3994.0,233.0,1.2091552857142858,1.1618463571428572,413201.0,10611.0,32080.0,6124.0,38226.0
2021-02-20,202107,OK,40,-41.714285714285715,-27.428571428571427,-54.285714285714285,-34.857142857142854,-48.57142857142857,20.428571428571427,67.66428571428571,981.0,9.0,565691.0,240890.0,27.338867585714283,20.84003924285714,74.18822178571428,6.184741385714286,30.65424997142857,,952.6666666666666,109.33333333333333,4155.0,161.0,1.3028508285714286,1.2649274,419298.0,6097.0,15620.0,3089.0,18716.0
2021-02-27,202108,OK,40,-5.142857142857143,-3.5714285714285716,-6.428571428571429,0.0,-16.428571428571427,5.142857142857143,132.83857142857144,887.0,13.0,665948.0,367540.0,30.25809904285714,19.088263814285714,,6.725658914285715,36.27561488571428,,873.0,55.333333333333336,4379.0,224.0,1.1073305,1.068738042857143,424843.0,5545.0,27798.0,3669.0,31495.0
2021-03-06,202109,OK,40,-2.5714285714285716,1.5714285714285714,14.0,3.857142857142857,-16.714285714285715,4.0,137.64428571428573,567.0,15.0,781746.0,447602.0,42.93082234285714,16.36930527142857,,8.973080685714285,50.78833335714286,,842.6666666666666,33.333333333333336,4534.0,155.0,1.0462006,1.0173001285714285,429635.0,4792.0,25871.0,2409.0,28293.0
2021-03-13,202110,OK,40,-2.142857142857143,2.0,14.0,6.571428571428571,-17.571428571428573,4.428571428571429,117.86285714285714,435.0,3.0,920680.0,493007.0,45.318554514285715,12.635536214285713,,4.962098928571429,33.33032634285714,,819.3333333333334,10.666666666666666,4701.0,167.0,0.9253675142857143,0.9382647428571428,433168.0,3533.0,26218.0,2406.0,28636.0
2021-03-20,202111,OK,40,7.0,3.4285714285714284,30.142857142857142,15.571428571428571,-24.857142857142858,4.0,155.9142857142857,362.0,9.0,1047673.0,542124.0,51.32241895714286,8.350185085714285,,,,,753.3333333333334,0.0,4788.0,87.0,1.0761461571428572,1.0428772000000002,435747.0,2579.0,21939.0,1836.0,23807.0
2021-03-27,202112,OK,40,4.857142857142857,3.857142857142857,22.571428571428573,12.0,-16.857142857142858,3.2857142857142856,150.4242857142857,316.0,7.0,1172868.0,624361.0,56.720005157142865,8.6892129,,,,,810.0,7.333333333333333,4850.0,62.0,0.8722227571428571,0.8721182857142856,438306.0,2559.0,23580.0,1669.0,25262.0
2021-04-03,202113,OK,40,8.285714285714286,11.428571428571429,43.285714285714285,12.285714285714286,-18.142857142857142,2.5714285714285716,150.24857142857144,309.0,13.0,1290295.0,742446.0,61.32391704285714,9.102570685714285,,,,,772.3333333333334,0.0,4953.0,103.0,0.8407565285714287,0.9201950999999999,440547.0,2241.0,20612.0,1525.0,22146.0
2021-04-10,202114,OK,40,2.4285714285714284,7.428571428571429,41.42857142857143,11.857142857142858,-17.857142857142858,2.7142857142857144,149.29,306.0,13.0,1386123.0,845586.0,63.98761841428572,5.766776328571429,,,,,813.3333333333334,21.333333333333332,6669.0,1716.0,1.1627298714285714,1.2156024142857145,442805.0,2258.0,21825.0,1585.0,23429.0
2021-04-17,202115,OK,40,2.5714285714285716,5.142857142857143,20.714285714285715,10.142857142857142,-16.857142857142858,3.7142857142857144,149.25285714285712,289.0,7.0,1447491.0,949432.0,65.68802148571429,6.113118885714286,,,,,768.6666666666666,0.0,6697.0,28.0,0.9901329571428572,1.0184986142857144,444863.0,2058.0,21481.0,1611.0,23117.0
2021-04-24,202116,OK,40,0.5714285714285714,4.571428571428571,26.0,11.142857142857142,-16.285714285714285,3.7142857142857144,147.79857142857142,287.0,6.0,1497014.0,1043226.0,66.74200421428571,7.122918714285715,,,,,773.0,4.666666666666667,6716.0,19.0,1.0977937571428573,1.090731857142857,446550.0,1687.0,20838.0,1446.0,22292.0
